部分,考试类型,问题类型,问答对,筛选后三元组
证书考试,上海市高校信息技术水平考试,成绩,问：全国计算机等级考试报考发票如何获取？答：当次考试成绩公布后，考生可通过一网通办（随申办市民云AAP）上查询下载电子发票。,"['(一网通办, 别名, 随申办市民云APP)', '(全国计算机等级考试报考发票, 可获取为, 电子发票)']"
证书考试,上海市高校信息技术水平考试,报名篇,问：报名上海市高校信息技术水平考试（简称上信考）有什么条件吗？答：必须是本市高校在籍的本、专科生和研究生。,"['(上海市高校信息技术水平考试, 简称, 上信考)']"
证书考试,上海市高校信息技术水平考试,报名篇,问：不是高校在籍学生能够报名吗？答：不能。,"['(上海市高校信息技术水平考试, 属于, 证书考试)', '(上海市高校信息技术水平考试, 报名条件, 高校在籍学生)']"
证书考试,上海市高校信息技术水平考试,报名篇,问：每年什么时候考试？答：考生可以登录“上海招考热线网站”（www.shmeea.edu.cn）—首页—证书考试—上海市高等学校信息技术水平考试栏目内发布的“20XX年上海市高等学校信息技术水平考试报名公告”或联系在读高校了解相关信息。注：2023年上信考时间是在10月28日、10月29日、11月4日、11月5日。,[]
证书考试,上海市高校信息技术水平考试,报名篇,问：什么时候报名？答：考生请直接联系学校负责老师进行确认。注：2023年对外开放时间6月14日10:00-6月21日16:00，9月13日10:00-9月20日16:00，考点可结合本校教学实际情况自行选择开放的时间段。,[]
证书考试,上海市高校信息技术水平考试,报名篇,问：考生怎么报名？答：请考生联系学籍所在学校听从学校安排，或在规定时间登录上海市教育考试院报名网站（https://scite.shmeea.edu.cn）进行报名。,"['(上海市高校信息技术水平考试, 属于, 证书考试)', '(上海市高校信息技术水平考试, 报名方式, 联系学籍所在学校)', '(上海市教育考试院报名网站, 运营机构, 上海教育考试院)']"
证书考试,上海市高校信息技术水平考试,考试篇,问：准考证怎么下载？答：考生可登录上海市教育考试院报名网站（https://scite.shmeea.edu.cn）—快速打印下载准考证。,"['(上海市高校信息技术水平考试, 属于, 证书考试)', '(考试篇, 隶属分类, 上海市高校信息技术水平考试)']"
证书考试,上海市高校信息技术水平考试,考试篇,问：考试成绩什么时候可以查询？答：考生可以关注“上海招考热线网站”（www.shmeea.edu.cn）—首页—证书考试—上海市高等学校信息技术水平考试栏目内发布的“20XX上海市高等学校信息技术水平考试成绩即将公布”信息。注：2022年上信考查询时间在4月3日14:00至5月31日14:00。2023年未公布。,"['(上海市教育考试院报名网站, 包含栏目, 证书考试)', '(上海市教育考试院报名网站, 发布信息, 上海市高等学校信息技术水平考试成绩即将公布)', '(上海市高校信息技术水平考试, 查询平台, 上海市教育考试院报名网站)']"
证书考试,上海市高校信息技术水平考试,考试篇,问：考试成绩哪里可以查询？答：考生可联系学籍学校相关负责老师，或登录上海市教育考试院“上海招考热线”网站（www.shmeea.edu.cn），点击首页下方的“成绩查询”栏目查询成绩。,"['(上海市高校信息技术水平考试, 属于, 证书考试)', '(上海招考热线网站, 运营机构, 上海教育考试院)', '(成绩查询栏目, 位于, 上海招考热线网站)', '(考试成绩, 查询方式, 学籍学校相关负责老师)']"
证书考试,上海市高校信息技术水平考试,结果篇,问：上信考有一级至四级，考生参与专科应届毕业生的“专升本”考试要求的上信考证书是几级？答：除招生院校的特别要求（详情请查看各院校的招生简章），一般一级证书即可。,"['(上海市高校信息技术水平考试, 简称, 上信考)', '(上海市高校信息技术水平考试, 包含级别, 一级至四级)', '(专升本, 要求证书, 上信考一级证书)', '(招生高校, 要求, 特别要求)']"
证书考试,上海市高校信息技术水平考试,结果篇,问：对于成绩不认可怎么反映？答：考生若对本人的成绩有异议，可于规定时间向本人所在高校提交成绩复查申请，由高校将申请统一汇总后提交上海市教育考试院，考试院将把复查结果反馈给高校。注：2022年上信考复核申请时间在4月7日前。考试院反馈时间是在4月12日前。,"['(考生, 提交, 成绩复核申请)', '(高校, 汇总, 成绩复核申请)', '(考生所在高校, 提交, 上海教育考试院)', '(上海教育考试院, 反馈复查结果, 高校)', '(2022年上信考复核申请时间, 截止日期, 4月7日前)', '(上海教育考试院, 复查结果反馈截止时间, 4月12日前)', '(上海教育考试院, 审核, 成绩复核申请)']"
证书考试,上海市高校信息技术水平考试,结果篇,问：对于成绩不认可怎么反映？答：考生若对本人的成绩有异议，可于规定时间向本人所在高校提交成绩复查申请，由高校将申请统一汇总后提交上海市教育考试院，考试院将把复查结果反馈给高校。注：2022年上信考复核申请时间在4月7日前。考试院反馈时间是在4月12日前。,"['(考生, 提交, 成绩复核申请)', '(高校, 汇总, 成绩复核申请)', '(考生所在高校, 提交, 上海教育考试院)', '(上海教育考试院, 反馈复查结果, 高校)', '(2022年上信考复核申请时间, 截止日期, 4月7日前)', '(上海教育考试院, 复查结果反馈截止时间, 4月12日前)', '(上海教育考试院, 审核, 成绩复核申请)']"
证书考试,普通话水平测试,报名篇,问：哪些考生可以报名？答：1.本市户籍人员，持有本市有效期内居住证的外省市户籍人员，本市全日制普通高等院校、中等职业学校在读在籍学生。其中本科2021级、高职高专及中职校2022级全日制学生除外，该部分学生将由所在学校统一组织测试。,
证书考试,普通话水平测试,报名篇,问：考生之前已在上海报名名普通话考试，可以同时在外省市报考吗 答：已在外省市报考，现在想在上海报考？须在前次测试（含外省）成绩公布之后方可再次报名。如当天缺考，隔天就可以报名。,
证书考试,普通话水平测试,报名篇,"问：在哪里报名？是否有线下报名方式？ 答：考生登录“全国普通话水平测试在线报名”页面（http://bm.cltt.org）,报名入口选择“上海”，额满为止。考生报名之前应仔细阅读线上报名操作说明。不接受线下报名。",
证书考试,普通话水平测试,报名篇,问：报名时候一网通办自动导入的照片不是我的照片怎么办？答：考生在报名前须先在“一网通办”注册并完成实名认证（https://www.shanghai.gov.cn），在线报名系统须使用“一网通办”账号进行登录方可报名，报名时系统会自动获取考生在“一网通办”账号中的姓名、身份证号码、手机号码，自动导入在线报名系统且不能修改。如信息有误须在报名前登录“一网通办”平台进行修改。如已报名完成，则信息无法修改。,
证书考试,普通话水平测试,报名篇, 问：报名时候没有显示我的头像照片，是否要上传照片？答：能从“一网通办”平台获取证件照的考生无需再上传证件照，无法获取证件照的考生须在报名系统中上传近期免冠证件照，白底为宜，像素390*567、大小不超过1MB，jpg格式（不符合要求可能会存在无法上传的情况）。在线报名页面所上传的考生本人证件照仅用于准考证打印，用于证书的照片必须测试当天现场采集。,
证书考试,普通话水平测试,报名篇,"问：报名时需上传哪些材料？答：考生须在报名系统中上传相关材料，最多可上传3张附件，如材料较多，请将照片拼接后上传。提交的材料如有不全、模糊、无法辨别、不实等情况，将无法通过材料复核。材料要求如下（其一即可）：1.上海市居民户口簿考生信息所在页；2.在有效期内的本市居住证（必须是原件，居住证含上海申领的港澳台人士居住证）；3.本市全日制高校、中职校在读在籍学生在有效期内的学生证信息页。（不主动介绍：驻沪军人需上传军官证）
",
证书考试,普通话水平测试,报名篇, 问：报名名额已满是否会增加答：对于需要进行材料复核的场次，在复核过程中如遇复核不通过或复核通过后未在24小时内缴费的情况，系统会自动释放所占名额，此时可再次进行报名。期间需考生自行登录查看。,
证书考试,普通话水平测试,报名篇,问：报名时的手机号码改了，不是现在用的手机，如何修改手机号码答：所有考生在报名前必须先在上海一网通办完成注册并完成实名认证（https://www.shanghai.gov.cn），在线报名系统将用一网通办账号进行登录，随后才能报名，报名时系统会自动获取考生在一网通办账号中的姓名、身份证号码、手机号码，并且带入到在线报名系统并且不能修改。（如信息有误须在报名前登录一网通办平台进行修改）,
证书考试,普通话水平测试,报名篇,问：考试费用多少？为什么外省市学生是25元每次？答：测试费用50元/人次。复核通过后，考生可通过微信扫码、支付宝扫码或银联在线支付完成线上缴费。缴费完成后测试日期无法更改，费用不能退还。各省份收费情况各不相同。,
证书考试,普通话水平测试,报名篇,"问：学校集体报名和社会考生个人报名有什么区别？答：社会考生报名需缴纳50元的报名费用，成绩查询在考后30个工作日（去除周末节假日）。学校集体报名无需缴费，但成绩公布时间以学校为准，预计在3-6月后。
",
证书考试,普通话水平测试,报名篇, 问：报名审核通过后，已缴费，现在不想参加了，要求退费。答：考生应对本人报名行为负责。缴费成功后，测试场次、考生信息等均不可更改或撤销，所缴测试费用均不办理退费。,
证书考试,普通话水平测试,报名篇, 问：收到短信提示没有通过怎么办？答：考生提交信息后，工作人员将于2个工作日内完成复核工作，复核结果通过系统自动以短信方式发送到考生手机上，通过复核的考生必须在24小时内完成在线支付测试费，超时则视为放弃本次报名机会。未通过的考生请在系统提示的时限内再次上传相关材料。请考生密切留意系统短信。手机、信号、运营商等因素可能会造成系统短信的延时甚至无法接收，为避免超时，建议考生经常登录网页及时关注复核状态。,
证书考试,普通话水平测试,报名篇,问：当时有报名，现在登录提示未查询到报考信息？答：考生未在审核驳回后规定时间内上传材料，视为自动放弃，烦请参与下次考试报名。,
证书考试,普通话水平测试,报名篇, 问：缴费后发票如何获取？答：测试费缴纳完成后的次日起，移动端可登录“随申办”app，在“我的”-“我的票据”中查询并保存电子版票据。网页端可登录一网通办，在“我的主页”-“我的办件”-“我的支付”-“点子票据”中查询并保存电子版。,
证书考试,普通话水平测试,报名篇, 问：成绩不合格证书邮寄费是否退回 答：对于在报名系统选择证书邮寄并支付邮寄费的考生，如为缺考、不入级（成绩不到60分）、违纪、作弊等不发证书的情况在本场测试成绩公布后，证书邮寄费系统将原路退还。,
证书考试,普通话水平测试,考试篇, 问：考试时间？答：请以下载准考证上的时间为准。,
证书考试,普通话水平测试,考试篇,"问：什么时候下载准考证？/在哪里下载准考证？答：考生缴费完成后可在报名系统中直接下载准考证。
",
证书考试,普通话水平测试,考试篇, 问：普通话考试中有哪些考场规则和注意事项？答：请考生仔细查看准考证上的相关说明。特别注意：考生在考前务必再次检查是否携带好本人纸质准考证、二代身份证原件。（二者缺一不可，否则无法参加考试）。考生应按准考证上的规定时间报到。迟到30分钟以上者，取消测试资格，测试费不予退还。测试期间，考生在测试室必须关闭手机等通讯工具，否则按违纪处理。,
证书考试,普通话水平测试,考试篇, 问：因事项无法参与考试，是否可以在当天修改考试时间？答：1.如考生在考试前几天来电询问：告知：请准时参加考试。如遇特殊情况，请考生用电子邮件叙述事项并附上证明材料（如其他考试冲突、学校课程安排。附带其他考试的准考证、学校课程安排证明等）于当天16:00之前发送至shpsczx@126.com邮箱，交由业务部门老师给予考生答复。2.请准时参加考试，考生应按准考证上的规定时间报到。迟到三十分钟以上者，取消测试资格。,
证书考试,普通话水平测试,考试篇, 问：身份证遗失，或者身份正在补办怎么参加考试？答：如遇不可抗力情况，请提前到达考点询问现场老师，由老师核实情况是否可以参考。,
证书考试,普通话水平测试,考试篇,问：普通话考试的题型有哪些？答：请考生自行登录国家普通话水平测试在线报名系统（https://bm.cltt.org）-首页-测前须知内的机辅测试和测试内容。,
证书考试,普通话水平测试,考试篇, 问：有培训机构吗？答：上海市教育考试院遵循“教考分离”的原则，没有针对考生的普通话测试考前辅导培训。,
证书考试,普通话水平测试,考试篇, 问：普通话考试有没有培训教材？答：测试资料为语文出版社出版的《普通话水平测试应试指导》，考生可按需自行购买。,
证书考试,普通话水平测试,考试篇, 问：测试中如不服从现场管理被认定为违纪，会有什么影响？答：考生在测试过程中有违纪及作弊行为，一经查实将取消当次测试成绩及一年内的应试资格，情节严重者，将依法追究相关责任。,
证书考试,普通话水平测试,考试篇, 问：身份证遗失，是否可以使用临时身份证参加考试？答：可以参加考试。（根据《中华人民共和国居民身份证法》，有效期内的临时身份证与居民身份证具有同等效益）,
证书考试,普通话水平测试,考试篇,问：可否使用电子身份证参加考试？答：一般来说无法直接使用电子身份证参加考试，具体情况请考生提前到达考场，根据监考老师核实信息后决定是否可以参加。,
证书考试,普通话水平测试,结果篇, 问：如何查询测试成绩/查不到成绩？答：1.社会测考生在完成测试的30个工作日后(非30天，双休日及国定节假日不是工作日)，可通过全国普通话信息资源网（www.cltt.org）的“查分验证”栏中进行查询。2.各高校、区统一组织的测试，考生成绩由学校（区）对学生公布，公布后考生可在（www.cltt.org）的“查分验证”栏中进行查询，具体请咨询学校。,
证书考试,普通话水平测试,结果篇," 问：普通话水平测试等级分为几级？答：普通话水平测试等级分为三级六等。测试成绩在60-70分之间（不含70分）为三级乙等，70-80分之间（不含80分）为三级甲等，80-87分之间（不含87分）为二级乙等，87-92分之间（不含92分）为二级甲等，92-97分之间（不含97分）为一级乙等，97-100分为一级甲等。
",
证书考试,普通话水平测试,结果篇, 问：对于成绩不认可，要求申请成绩复核。答：询问考生复核的原因，如是成绩不符合预期，觉得成绩低了打分较严。告知考生请提升自己普通话能力，不予受理。,
证书考试,普通话水平测试,结果篇, 问：如何申请证书？答：考生需在缴费后选择是否需要纸质证书。（在下载准考证前会有选项，需选择是否需要纸质证书后，才可下载准考证）,
证书考试,普通话水平测试,结果篇,问：考试成绩出了，再想补证书？答：无法办理，需在考试缴费后，下载准考证前申请。,
证书考试,普通话水平测试,结果篇,问：证书丢失如何补办？答：按照《普通话水平测试管理规定》（中华人民共和国教育部令第51号）规定：纸质证书遗失的，不予补发。考生可以通过国家政务服务平台查询测试成绩或电子证书，查询结果与纸质证书具有同等效力。,
证书考试,普通话水平测试,结果篇,问：多次考试以哪次考试结果为准？答：普通话水平测试不限测试次数，每次测试所颁发的证书均有效，考生可选择成绩最好的证书来使用。（每张证书成绩独立，互不影响，不覆盖）,
证书考试,普通话水平测试,结果篇,问：证书邮寄地址可以变更吗？答：在线报名系统中无法更改证书邮寄地址，如需变更请在证书寄出后联系顺丰客服或在顺丰app中办理转寄。请考生使用报名时使用的手机号码绑定顺丰程序，接到证书寄出消息后可申请改寄业务。,
证书考试,普通话水平测试,结果篇,问：成绩不合格证书邮寄费是否退回答：对于在报名系统选择证书邮寄并支付邮寄费的考生，如为缺考、不入级（成绩不足60分）、违纪、作弊等不发证书的情况在本场测试成绩公布后，证书邮寄费系统将原路退还。,
证书考试,普通话水平测试,结果篇, 问：考生成绩当天已经公布，通过国家政务平台APP未查询到电子证书？答：由于成绩刚公布，国家政务平台同步电子证书可能会存在延迟，请考生过1-3个工作日再次查看下。（如依旧无证书，升级）,
证书考试,普通话水平测试,结果篇,问：报名界面有证书直邮功能，是否是等出成绩后48小时内直接申请证书邮寄功能？答：上海暂未开放证书直邮功能。,
证书考试,上海市高等学校教师资格专业课程考试,报名篇,"问：高校教资考考报名条件(报名对象)是什么？有什么要求吗？答：1、遵守宪法和法律，热爱教育事业，遵守教师职业道德；符合申请认定教师资格的体检标准；具备大学本科毕业及以上学历。2、根据《教师资格条例》，“申请参加高等学校教师资格考试的，应当学有专长，并有两名相关专业的教授或者副教授推荐”，方可报考。在本市高校任职或拟聘的报考人员，推荐信提交至所在高校人事部门；在本市高校附属医院任职或拟聘的报考人员，推荐信提交至所在医院人事部门，由所在高校或医院人事部门负责审核汇总；社会考生需按报名页面要求上传推荐信。根据成文日期，推荐信当年有效。3、在2021年下半年—2024年上半年内报考且已通过一门或两门科目的报考人员，参加本次教师资格考试，此次不需要上传推荐信。考生需注意，高等学校教师资格的认定除三门教育类专业课程考试成绩合格外，还需符合相应的学历层次、满足体检标准等，因此请考生在报考前详细了解高等学校教师资格的认定条件，谨慎报考。
",
证书考试,上海市高等学校教师资格专业课程考试,报名篇," 问：高校教资考的报名时间？	答：高校教资考每年有次，具体报名时间需以上海招考热线（https://www.shmeea.edu.cn/）网站公告为准，一般上半年在4月上旬，下半年在9月中旬。	注：2025年上半年报名时间：4月8日9:00—4月14日16:002024年下半年报名时间：9月13日9:00—9月19日16:00",
证书考试,上海市高等学校教师资格专业课程考试,报名篇," 问：报名完成后什么时候缴费？	答：报名完成后需等待审核，待审核完成后缴费。具体缴费时间请以上海招考热线（https://www.shmeea.edu.cn/）网站公告为准。	注：2025年上半年缴费时间：4月17日0:00—4月21日11:00 2024年下半年缴费时间：9月25日10:00—9月29日16:00",
证书考试,上海市高等学校教师资格专业课程考试,报名篇," 问：考生提交材料后未有审核结果，什么时候能审核完	答：上海招考热线（https://www.shmeea.edu.cn/）网站公告为准，考生有报名，会在规定时间内审核完毕。烦请考生同时关注报名反馈并耐心等待。	注：2025年上半年审核时间：4月8日9:00—4月16日11:00  2024年下半年审核时间：9月13日9:00—9月24日15:00",
证书考试,上海市高等学校教师资格专业课程考试,报名篇," 问：推荐书有没有格式要求？	答：根据“报考条件及要求”需要上传推荐信的考生，请根据报名页面提示将推荐信原件拍照上传。	推荐信中须说明被推荐人的学历学位及专业特长等基本情况，推荐人须为两名相关专业的教授或者副教授，落款应署明推荐人姓名和成文日期(推荐信当年有效)，并注明推荐人的工作单位、职务、职称和手机号码。	推荐书可以机打，但签名、日期部分需手写	",
证书考试,上海市高等学校教师资格专业课程考试,报名篇," 问：错过报名时间、缴费时间，有补报名或者补缴费吗？	答：错过报名时间、缴费时间视作放弃报考。",
证书考试,上海市高等学校教师资格专业课程考试,报名篇,问：考生已取得博士学位，报名申请时为什么被驳回？答：高等学校拟聘任副教授以上教师职务或具有博士学位的申请人申请认定高等学校教师资格，可免上述专业课程考试合格证。,
证书考试,上海市高等学校教师资格专业课程考试,报名篇,问：考生在任职单位是工程师，和副教授同属7级岗位，是否也可以申请专业课程的笔试免考？,
证书考试,上海市高等学校教师资格专业课程考试,考试篇,问：什么时候考试？在哪里考试 答：科目：心理学概论，时间：2025年上半年考试时间：2025年5月25日（星期日）08:30---10:30，具体考场地址以网上下载打印的准考证为准。,
证书考试,上海市高等学校教师资格专业课程考试,考试篇,问：什么时候考试？在哪里考试 答：科目：高等教育学概论，时间：2025年上半年考试时间：2025年5月25日（星期日）12:00---14:00，具体考场地址以网上下载打印的准考证为准。,
证书考试,上海市高等学校教师资格专业课程考试,考试篇,问：什么时候考试？在哪里考试 答：科目：高等教育方法概论，时间：2025年上半年考试时间：2025年5月25日（星期日）15:00---17:00，具体考场地址以网上下载打印的准考证为准。,
证书考试,上海市高等学校教师资格专业课程考试,考试篇,问：什么时候下载准考证？在哪里下载准考证？答：考生可登录上海招考热线(https://www.shmeea.edu.cn/)进入上海市高等学校教师资格专业课程考试考生服务平台网上打印准考证（当初报名端口）。注：2025年上半年高校教资考考准考证下载时间：未公布2024年下半年高校教资考考准考证下载时间：11月20日起,
证书考试,上海市高等学校教师资格专业课程考试,考试篇,问：考生身份证遗失怎么办？答：考生凭本人纸质版准考证和有效身份证件原件【有效期内的居民身份证/港澳台居民居住证/港澳居民来往内地通行证/台湾居民来往大陆通行证(五年有效期)或公安机关出具的身份证明】参加考试。准考证上的姓名和证件号码与身份证件不一致者，不得参加考试。,
证书考试,上海市高等学校教师资格专业课程考试,考试篇, 问：考生可以携带计算器参考吗？答：考生进入考场时，除必要的考试文具（如橡皮、2B铅笔、黑色字迹的墨水笔等）以及准考证、身份证件外，其余物品（包括书籍、资料、手机、所有带收发功能的手表及其他电子智能设备等）都必须放置在指定地点。,
证书考试,上海市高等学校教师资格专业课程考试,结果篇, 问：什么时候可以查询考试成绩？/在哪里查询？答：考生可登录上海招考热线（https://www.shmeea.edu.cn/）进入上海市高等学校教师资格专业课程考试考生服务平台查询成绩。（当初报名端口）注：2025年上半年高校教资考成绩查询时间：未公布2024年下半年高校教资考成绩查询时间：12月11日起,
证书考试,上海市高等学校教师资格专业课程考试,结果篇, 问：对于考试成绩不认可怎么办？什么时候可以申请成绩复核？什么时候查询成绩复核的结果？答：考生如对本次考试成绩有疑问，可于12月11日上午10:00至12月20日上午10:00期间登录 “上海招考热线”网站，进入首页“成绩查询”栏目申请成绩复核，注：2025年上半年高校教资考成绩复核申请时间未公布2024年下半年高校教资考申请成绩复核时间：12月11日上午10:00至12月20日上午10:00   2024年下半年高校教资考查询成绩复核结果时间：12月24日上午10:00起,
证书考试,上海市高等学校教师资格专业课程考试,结果篇,问：成绩复核什么内容，能查看试卷吗？答：成绩复核只核查考生答卷是否有漏评、加分错、登分错，不重新评阅答卷；复核结果只向考生提供所复核科目合格情况，不得查阅答卷。,
证书考试,上海市高等学校教师资格专业课程考试,结果篇,问：往年的高校教资考专业课成绩如何查询？答：考生可在报名期间登录查询，非报名期间，考生可登录“随申办”—“考试成绩证明”栏目查询往期成绩。,
